iteration, obj, obj_qp, obj_lp, obj_decoded, rho
1682,-3116.4,-3083,-3133.1,-3126.1,0.225
1686,-3118.6,-3088.6,-3133.5,-3128.7,0.225
1690,-3120.5,-3093.6,-3133.8,-3130,0.225
1694,-3122.3,-3097.9,-3134.2,-3131,0.225
1698,-3123.8,-3101.4,-3134.6,-3131.6,0.225
1701,-3125,-3104.1,-3134.9,-3131.7,0.225
1704,-3125.9,-3106.1,-3135.2,-3132.7,0.225
1707,-3126.6,-3107.8,-3135.4,-3132.7,0.225
1710,-3127.2,-3109.4,-3135.6,-3132.7,0.225
1713,-3127.8,-3110.8,-3135.7,-3132.7,0.225
1716,-3128.3,-3112.2,-3135.8,-3132.7,0.225
1719,-3128.8,-3113.6,-3135.8,-3132.3,0.225
1722,-3129.3,-3115,-3135.9,-3132.3,0.225
1725,-3129.8,-3116.3,-3136,-3132.4,0.225
1728,-3130.2,-3117.5,-3136.1,-3133.3,0.225
1731,-3130.7,-3118.6,-3136.2,-3133.6,0.225
1734,-3131.1,-3119.6,-3136.3,-3133,0.225
1737,-3131.5,-3120.5,-3136.4,-3132.9,0.225
1740,-3129.7,-3121.7,-3134.9,-3132.5,0.3375
1743,-3130.3,-3122.7,-3135,-3133.4,0.3375
1746,-3130.7,-3123.7,-3135.1,-3133.4,0.3375
1748,-3131.1,-3124.5,-3135.2,-3133.3,0.3375
1750,-3131.5,-3125.4,-3135.3,-3133.9,0.3375
1752,-3131.9,-3126.1,-3135.4,-3134.6,0.3375
1754,-3132.2,-3126.9,-3135.5,-3135.5,0.3375
1756,-3132.5,-3127.5,-3135.6,-3135.5,0.3375
1758,-3132.8,-3128.1,-3135.7,-3135.5,0.3375
1760,-3133,-3128.6,-3135.7,-3135.5,0.3375
1762,-3133.3,-3129,-3135.8,-3135.5,0.3375
1764,-3133.4,-3129.5,-3135.8,-3135.5,0.3375
1766,-3133.6,-3129.9,-3135.8,-3135.6,0.3375
1768,-3133.8,-3130.4,-3135.8,-3135.6,0.3375
1770,-3133.9,-3130.9,-3135.9,-3135.7,0.3375
1772,-3134.1,-3131.3,-3135.9,-3135.9,0.3375
1774,-3134.3,-3131.7,-3135.9,-3135.9,0.3375
1776,-3134.4,-3132.2,-3135.9,-3135.9,0.3375
1778,-3134.6,-3132.5,-3135.9,-3135.9,0.3375
1780,-3134.8,-3132.9,-3135.9,-3135.9,0.3375
1782,-3134.9,-3133.2,-3136,-3136,0.3375
1784,-3135,-3133.5,-3136,-3136,0.3375
1786,-3135.1,-3133.8,-3136,-3136,0.3375
1788,-3135.3,-3134,-3136.1,-3136,0.3375
1790,-3135.4,-3134.2,-3136.1,-3136,0.3375
1792,-3135.5,-3134.4,-3136.1,-3136,0.3375
1794,-3135.6,-3134.6,-3136.1,-3136,0.3375
1796,-3135.6,-3134.8,-3136.2,-3136,0.3375
1798,-3135.7,-3134.9,-3136.2,-3136,0.3375
1800,-3135.8,-3135.1,-3136.2,-3136,0.3375
1802,-3135.8,-3135.2,-3136.3,-3136,0.3375
1804,-3135.9,-3135.3,-3136.3,-3136,0.3375
